"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049"
"1987",0.553518559960162,0.512314819209576,0.459766701405575,0.396353964902238,0.324514838733833,0.248915004802613,0.175992933866188,0.11255335236239,0.0637086528018624,0.0311357101973501,0.0127743315388273,0.00426188717486484,0.00111523312590626,0.000219732249136288,3.113371267509e-05,3.01335168228491e-06,1.88145512695023e-07,7.11220106701926e-09,1.51751648766992e-10,1.69181626706675e-12,9.05423287871737e-15,2.11995667190556e-17,1.96233715143968e-20,6.43076173636984e-24,6.61781099956399e-28,1.87788105490471e-32,1.27655936195796e-37,1.78601152972155e-43,4.36647644343702e-50,1.56436965860478e-57,6.79872136062652e-66,2.92686680974159e-75,1.00481987685707e-85,2.18190163114013e-97,2.3401149313209e-110,9.52430619584844e-125,1.11123670847089e-140,2.75851622494487e-158,1.06164721403702e-177,4.52857148441406e-199,1.50048887754095e-222,2.65124252798883e-248,1.67867496227074e-276,2.50319412220559e-307,0,0,0,0,0,0
"1988",0.669823956547584,0.634585381222696,0.587347052784542,0.527102880716333,0.454402887474479,0.372042398479199,0.285370418701198,0.201768379795636,0.129037609907643,0.073039248635789,0.0356957615416669,0.0146452253561566,0.00488607156693061,0.00127856713315329,0.000251913636093986,3.5693471467735e-05,3.45467896541436e-06,2.157007922327e-07,8.15383467136442e-09,1.73976782080993e-10,1.93959507134246e-12,1.03802911747593e-14,2.43043975420374e-17,2.24973570791092e-20,7.37259359165895e-24,7.58703758067357e-28,2.15291040142059e-32,1.4635207705046e-37,2.04758591570633e-43,5.00597869501942e-50,1.7934829795958e-57,7.79444358066435e-66,3.35552775390512e-75,1.15198306026337e-85,2.50145700351427e-97,2.68284179288238e-110,1.09192101500791e-124,1.27398541130113e-140,3.16252100081634e-158,1.21713317452658e-177,5.19181373437226e-199,1.72024639326145e-222,3.03953629027128e-248,1.92452912682502e-276,2.86980511805887e-307,0,0,0,0,0
"1989",0.788649968673783,0.760181830301043,0.720189643658833,0.666578961894681,0.598207974950848,0.515700902181586,0.422230152655665,0.323866301110179,0.228986519145239,0.146444518023588,0.0828920930179104,0.0405110463390932,0.0166208361280424,0.00554519256951559,0.00145104320910352,0.000285896267357695,4.05084473388992e-05,3.92070805076474e-06,2.44798385357826e-07,9.25377019418323e-09,1.97445892072717e-10,2.20124245626508e-12,1.17805710995434e-14,2.75830107706183e-17,2.55322042667467e-20,8.36714130002142e-24,8.61051334199258e-28,2.44333358553114e-32,1.66094671164057e-37,2.32380104337116e-43,5.68127492250653e-50,2.0354201439286e-57,8.84589798469939e-66,3.80818154480018e-75,1.30738320519385e-85,2.83889840720523e-97,3.04475163150809e-110,1.23921891359513e-124,1.44584342239918e-140,3.58913857777983e-158,1.38132193584212e-177,5.89217872636185e-199,1.95230409276256e-222,3.4495634827906e-248,2.1841441468264e-276,3.25693592462352e-307,0,0,0,0
"1990",0.909024651070833,0.887253773995757,0.855226303998742,0.810233950054554,0.749920399542762,0.673001083487069,0.580178266516731,0.475020999580491,0.364358852905646,0.257616384170306,0.164754271804408,0.0932559757635266,0.0455760859451009,0.0186989160810714,0.00623850026027332,0.0016324651171584,0.00032164147880584,4.55731619955385e-05,4.41090870849382e-06,2.75405185956003e-07,1.04107561714425e-08,2.22132276497865e-10,2.47646072957463e-12,1.32534794688095e-14,3.103167612566e-17,2.87244601457304e-20,9.4132733035973e-24,9.68707381244293e-28,2.74882017498665e-32,1.86861256177708e-37,2.61434264584265e-43,6.39159680000751e-50,2.28990588486873e-57,9.95188826863756e-66,4.28431317047648e-75,1.47084350338284e-85,3.19384191445429e-97,3.42543268020179e-110,1.39415672550289e-124,1.62661520837674e-140,4.03788356688079e-158,1.55402669037067e-177,6.62886961222275e-199,2.19639794978226e-222,3.88085759248906e-248,2.45722464236103e-276,3.6641460794629e-307,0,0,0
"1991",1.03068143496412,1.0149297416628,0.990622468345679,0.954863667072367,0.904629519833804,0.837289193949804,0.75140846290327,0.64777140802567,0.53036288930196,0.406808149830104,0.287629746812773,0.183948818465277,0.10412067844221,0.0508858864055805,0.020877416300185,0.00696531106176694,0.00182265398158273,0.000359114026894542,5.08826218039324e-05,4.92479761768417e-06,3.07491016778973e-07,1.162365185493e-08,2.48011595434039e-10,2.76497853555942e-12,1.47975640457784e-14,3.46469933422362e-17,3.20709772620213e-20,1.05099581523636e-23,1.08156575405842e-27,3.06906897056118e-32,2.08631356955852e-37,2.91892425913582e-43,7.13624397468504e-50,2.55668928826535e-57,1.11113239642588e-65,4.78345318159628e-75,1.6422027886221e-85,3.56593756322272e-97,3.82450960059785e-110,1.55658168740008e-124,1.81612253449653e-140,4.50831352105923e-158,1.73507715718932e-177,7.40116004018617e-199,2.45228729620833e-222,4.33299337827102e-248,2.74350136549225e-276,4.09103408742901e-307,0,0
"1992",1.15384034245018,1.1430949660927,1.12562527981587,1.09866688042527,1.05900796706718,1.00329492238975,0.928609976176737,0.833362474850518,0.718422017292571,0.588208080981449,0.451177572876788,0.319000715959966,0.204011599775908,0.115476828587284,0.0564358672060577,0.023154457495971,0.0077249979885907,0.00202144573541151,0.000398281585823577,5.64322465434712e-05,5.46193147060622e-06,3.41028198893489e-07,1.28914109367334e-08,2.75061524013129e-10,3.06654698351326e-12,1.64114928214968e-14,3.84258436566642e-17,3.55688687331079e-20,1.16562497880152e-23,1.19952909504524e-27,3.40380370872007e-32,2.31386193459113e-37,3.23728313505538e-43,7.91457407453528e-50,2.83554021265649e-57,1.23232048810617e-65,5.30517099360888e-75,1.82131323733669e-85,3.95486436414048e-97,4.24163812785548e-110,1.72635368293119e-124,2.01420192172451e-140,5.00002262257675e-158,1.92431715259778e-177,8.20838379171716e-199,2.71975138836804e-222,4.80558080391448e-248,3.04272735879036e-276,4.53723169236725e-307,0
"1993",1.27899894387934,1.27213475019494,1.26028773274776,1.24102701341759,1.21130477593577,1.16757993812098,1.10615506193505,1.0238132405421,0.91880074284331,0.792076321029219,0.648512547735167,0.497433351781039,0.351705414674614,0.224927345638378,0.127315782854534,0.0622218041689881,0.0255283065766167,0.00851698283109442,0.00222868907511907,0.000439114344548756,6.22178123076139e-05,6.02190144624933e-06,3.75991206623574e-07,1.42130685055067e-08,3.032614741097e-10,3.38093654495457e-12,1.80940374094281e-14,4.23653509266263e-17,3.92154722588604e-20,1.28512757499869e-23,1.32250762045342e-27,3.75276961759741e-32,2.55108446624085e-37,3.56917696566135e-43,8.72599470029629e-50,3.1262464202245e-57,1.35866086374488e-65,5.84906951889447e-75,2.00803852575131e-85,4.36032629891164e-97,4.67650077890197e-110,1.90334349596432e-124,2.2207026087284e-140,5.51263662391436e-158,2.1216026430637e-177,9.04992647614175e-199,2.99858665514057e-222,5.29826017570826e-248,3.35467487665282e-276,5.00239928627336e-307
"1994",1.40676148708269,1.40270137787464,1.3951732919562,1.38218045269204,1.3610568718849,1.32845995406195,1.28050613006259,1.21314035241742,1.12283458095661,1.00766546692327,0.868684491262859,0.711235492906652,0.545544193983234,0.385721717856706,0.246681906313131,0.139629532056979,0.0682397830423222,0.0279973576062659,0.00934072980253986,0.00244424379823302,0.000481584679245181,6.82354050954313e-05,6.604328718567e-06,4.12356387097524e-07,1.55877304448984e-08,3.32592368137327e-10,3.70793453177541e-12,1.9844059549055e-14,4.64628500307248e-17,4.30083208705897e-20,1.4094227589647e-23,1.4504181339142e-27,4.11573061779367e-32,2.79782068077158e-37,3.91438122100896e-43,9.56995691670179e-50,3.42861124491925e-57,1.49006805264342e-65,6.4147808039252e-75,2.20225233208828e-85,4.78204906793369e-97,5.12880336421642e-110,2.08743139088139e-124,2.43548489544882e-140,6.04580873587988e-158,2.32680016271278e-177,9.92521878027896e-199,3.28860446130202e-222,5.81069819046341e-248,3.67913288304189e-276
"1995",1.5377152843394,1.53553042488994,1.53109867062699,1.5228814958784,1.50869934760449,1.48564220443572,1.45006150398693,1.39771819176452,1.32418603857412,1.2256140625181,1.09990285970963,0.94820015916867,0.776338952017076,0.595480979309804,0.421029036370663,0.269262114361109,0.152410623019874,0.074486161308463,0.0305601161360328,0.0101957403114726,0.00266797943539006,0.000525666883783812,7.44813826230133e-05,7.20886076030168e-06,4.50101729468745e-07,1.70145647097302e-08,3.63036452910117e-10,4.04734302106076e-12,2.16604999999624e-14,5.07158608651068e-17,4.69451188610324e-20,1.5384352982329e-23,1.58318321470116e-27,4.49246701896792e-32,3.05392123551824e-37,4.27268695842808e-43,1.04459498965639e-49,3.74245167360331e-57,1.62646251763359e-65,7.00196243917227e-75,2.40383710405601e-85,5.21977741397832e-97,5.59827211744622e-110,2.27850594432735e-124,2.65841878005702e-140,6.5992162440137e-158,2.53978551111296e-177,1.08337309136979e-198,3.58962926702672e-222,6.34258468350082e-248
"1996",1.67235297904965,1.67131234762513,1.66893766707607,1.664120880967,1.6551897961558,1.63977549952532,1.61471514636931,1.5760431863499,1.51915227492836,1.43923163108343,1.33209569871023,1.19546267722155,1.03058001060288,0.843787461607948,0.647216505963213,0.45760813745003,0.292655669786554,0.165652093568013,0.0809575364112423,0.0332151861681932,0.0110815486125989,0.00289977411227521,0.00057133694550154,8.09523425524839e-05,7.83516826795302e-06,4.89206672919107e-07,1.84927940682173e-08,3.94577144784877e-10,4.39897712864263e-12,2.35423693022751e-14,5.5122066709966e-17,5.10237217593105e-20,1.67209491649397e-23,1.72073054240311e-27,4.88277360351873e-32,3.31924662619771e-37,4.64389899995397e-43,1.13534964649199e-49,4.06759674966134e-57,1.7677699612892e-65,7.61029457232929e-75,2.61268303346166e-85,5.67327289562869e-97,6.0846513073926e-110,2.4764630732844e-124,2.8893828249724e-140,7.17255769360879e-158,2.76044266989648e-177,1.17749679874515e-198,3.90149709668497e-222
"1997",1.81103469390965,1.81061514020356,1.80948847434042,1.80691746653935,1.80170245154822,1.79203298727831,1.7753443101842,1.7482120866575,1.70634291358838,1.64474853318529,1.55822043201692,1.44222701217981,1.29429782470664,1.11578344629678,0.913547781024954,0.70072527711977,0.495440993813529,0.316851043541698,0.179347417906418,0.0876507190623567,0.0359612592043734,0.0119977181529436,0.00313951359349954,0.000618572356818239,8.76450958001496e-05,8.48294257834252e-06,5.29651945356237e-07,2.0021690004468e-08,4.27198899559935e-10,4.76266355865597e-12,2.5488740014196e-14,5.96792960545274e-17,5.5242119507235e-20,1.81033574226766e-23,1.86299232955966e-27,5.28645801662115e-32,3.59366609247672e-37,5.02783440112686e-43,1.22921493555226e-49,4.40388623181982e-57,1.91392074305161e-65,8.239477399023e-75,2.82868719474933e-85,6.14231201667075e-97,6.58770123176091e-110,2.68120521852501e-124,3.12826320416645e-140,7.7655505247532e-158,2.98866289257832e-177,1.27484661315983e-198
"1998",1.95398242974339,1.95384991144127,1.95339727241992,1.95218175953973,1.94940800629176,1.94378174379505,1.93334976147523,1.91534504275169,1.88607321669937,1.84090230950011,1.77445069755664,1.68109913263436,1.55595866247183,1.39636402255906,1.2037722938528,0.985588656614675,0.755983320059705,0.534510655782741,0.341837395741745,0.193490460327514,0.094562710617124,0.0387971049632951,0.0129438384750214,0.00338709047223465,0.000667351955571997,9.45566439137072e-05,9.15189347901186e-06,5.7141942670073e-07,2.16005675505221e-08,4.60887102207348e-10,5.1382393742087e-12,2.74987401328995e-14,6.43855071927371e-17,5.95984222003117e-20,1.9530958416223e-23,2.00990484078905e-27,5.70333940169595e-32,3.87705669038136e-37,5.42432115321653e-43,1.32614880380138e-49,4.75116945742392e-57,2.06484938521203e-65,8.88922903605437e-75,3.05175281486451e-85,6.62668464065082e-97,7.10719651675529e-110,2.89264065254419e-124,3.37495289570115e-140,8.37792906790042e-158,3.22434393312804e-177
"1999",2.10129846851658,2.10127023656583,2.10112772926392,2.10064097109814,2.09933383496507,2.0963510010077,2.09030064060144,2.07908231354622,2.05972043035033,2.02824214481541,1.97966633296999,1.9082057137632,1.80781746977383,1.67324412799771,1.5016195209084,1.29451056169816,1.0598806202742,0.812968031647191,0.574801142030258,0.367604505794679,0.208075435662449,0.101690683746243,0.0417215634508027,0.0139195225711676,0.00364240347790489,0.000717655788615048,0.000101684159745244,9.84174733761247e-06,6.14492032090298e-07,2.32287808712807e-08,4.95627972669416e-10,5.52555094714608e-12,2.95715474738985e-14,6.92387750631213e-17,6.40908479060611e-20,2.10031681896976e-23,2.1614079819716e-27,6.13324723466973e-32,4.16930249984216e-37,5.83319707451269e-43,1.42611160073286e-49,5.10930437131752e-57,2.22049415086455e-65,9.5592837044757e-75,3.28178864948798e-85,7.12619263640778e-97,7.64292466439604e-110,3.11068288831528e-124,3.62935099190212e-140,9.00944283145412e-158
"2000",2.2529988703946,2.25299599061242,2.25296572053285,2.25281292530426,2.25229102695791,2.25088952569043,2.24769135415634,2.24120420445281,2.22917600081802,2.20841633917803,2.17466556451935,2.12258295418664,2.04596343012958,1.93832793017495,1.79403943236866,1.61002485402291,1.38796422736192,1.13639581610286,0.871658045365744,0.616297345568352,0.394142712277876,0.223096875249415,0.109031965803821,0.0447335381361121,0.0149244046069376,0.0039053568804558,0.000769464994437911,0.000109024970820332,1.05522454922431e-05,6.58853611376816e-07,2.49057194653341e-08,5.31408484796479e-10,5.92445305432181e-12,3.17063848344838e-14,7.42372799244711e-17,6.871771218167e-20,2.25194347354913e-23,2.31744494674164e-27,6.57602032085457e-32,4.4702939427858e-37,6.25430885627922e-43,1.52906584512254e-49,5.47815669019323e-57,2.38079668073422e-65,1.02493901661265e-74,3.5187084462844e-85,7.6406487125519e-97,8.19468480248464e-110,3.33525017052365e-124,3.89136210576179e-140
"2001",2.40905204960672,2.40905200039512,2.4090489211459,2.40901655442051,2.40885317588716,2.40829512844568,2.40679655271342,2.40337686101581,2.39644038129738,2.38357904860507,2.36138147671166,2.32529296718119,2.26960287418712,2.18767632725251,2.07258549436905,1.91830290735055,1.72154262757816,1.48410105408418,1.21510785025106,0.932033116146688,0.658984952318066,0.421442860860323,0.238549597456022,0.116584024421061,0.0478319900412013,0.0159581379491558,0.00417585997434216,0.000822761701500546,0.000116576544932638,1.12831428571894e-05,7.04488862072477e-07,2.66308048741872e-08,5.68216296132309e-10,6.33480809480442e-12,3.39025158043833e-14,7.93792975469253e-17,7.34774189943708e-20,2.40792350187912e-23,2.47796191028525e-27,7.03150592606335e-32,4.77992719247842e-37,6.68751123637691e-43,1.63497602299425e-49,5.85759917876767e-57,2.54570167860417e-65,1.09593103693889e-74,3.762430479978e-85,8.16987540791165e-97,8.76228660184615e-110,3.56626503488255e-124
"2002",0,2.56941090812165,2.56941085563427,2.56940757141444,2.56937305019382,2.56919879634745,2.56860360240649,2.5670052737885,2.56335794987465,2.55595974249453,2.54224229354276,2.51856713743061,2.48007639163682,2.4206792804633,2.33329928242927,2.21054741350063,2.0459949862987,1.83613733327923,1.58289043100636,1.295991660076,0.994074020006692,0.702850370148906,0.449496258921133,0.254428681991987,0.124344454952353,0.0510159325902038,0.0170203934475242,0.00445382662886629,0.00087752893963638,0.000124336477590824,1.20342067079415e-05,7.51383253489577e-07,2.84034878146225e-08,6.0603968672789e-10,6.75648540773746e-12,3.61592411150975e-14,8.46631906643114e-17,7.8368452809304e-20,2.56820723846989e-23,2.64290776251027e-27,7.4995590194486e-32,5.09810365881731e-37,7.13266627914414e-43,1.74380841156362e-49,6.24751101902805e-57,2.71515663719137e-65,1.16888182690762e-74,4.01287714720943e-85,8.71370421179149e-97,9.34554933279549e-110
"2003",0,0,2.73402821511419,2.73402815926404,2.73402466463044,2.73398793170038,2.73380251373899,2.73316918684569,2.73146845633007,2.72758745525756,2.71971525869508,2.70511895868134,2.67992698000513,2.63897020478151,2.57576763281011,2.48278936323613,2.35217301376549,2.17707802315362,1.95377518642194,1.68430323313656,1.37902339948839,1.05776246610439,0.747880666699335,0.478294635783677,0.270729447400428,0.13231096947481,0.0542844270961494,0.0181108579288684,0.0047391748941586,0.000933750562419387,0.000132302481018786,1.28052156165559e-05,7.99522960267413e-07,3.02232456659101e-08,6.44867505526511e-10,7.18936067460912e-12,3.84758954409767e-14,9.00874014841929e-17,8.33893716564458e-20,2.73274742861983e-23,2.81223387423453e-27,7.98004161003422e-32,5.42472953731365e-37,7.58964274438674e-43,1.85553092496744e-49,6.64777725752956e-57,2.8891115979431e-65,1.24376987923504e-74,4.26997461152604e-85,9.27197479309112e-97
"2004",0,0,0,2.90285890545125,2.90285884615227,2.90285513571936,2.90281613447111,2.90261926664894,2.9019468307896,2.90014107739768,2.89602041819486,2.88766210068718,2.87216445540054,2.84541683105565,2.80193090832846,2.73482547471209,2.63610564572342,2.49742352417021,2.31151613302196,2.07442398282555,1.78831169801465,1.46418033797188,1.12308101928457,0.794063514612379,0.507830107691928,0.287447431233407,0.140481387099657,0.0576365787859271,0.0192292328709498,0.00503182665414618,0.000991411178789179,0.000140472374467663,1.35959585139798e-05,8.48894803826329e-07,3.20895802566778e-08,6.84689123142638e-10,7.63331539280346e-12,4.08518445817816e-14,9.56504450911197e-17,8.85388010243295e-20,2.90149902830712e-23,2.98589389125687e-27,8.47282216236817e-32,5.75971541186077e-37,8.05831553161801e-43,1.97011297839038e-49,7.05828831860465e-57,3.06751893947859e-65,1.3205746927958e-74,4.53365249070827e-85
"2005",0,0,0,0,3.0758599485526,3.07585988571959,3.07585595415682,3.07581462855976,3.07560602804934,3.07489351717814,3.07298014669886,3.06861390947673,3.0597574631607,3.04333620811983,3.01499451149556,2.96891696780535,2.89781226643553,2.79320905353256,2.64626192411308,2.44927505110352,2.19805297222952,1.89488931657058,1.55144077122336,1.1900130315359,0.84138714307351,0.538095146817319,0.30457837250885,0.148853625398572,0.0610715332826935,0.0203752332288955,0.00533170731945778,0.00105049609254464,0.000148844075642733,1.4406233860282e-05,8.99486200559211e-07,3.40020159064658e-08,7.25494390074965e-10,8.08823640973496e-12,4.32864829694725e-14,1.0135090360903e-16,9.38154284564747e-20,3.07441902710969e-23,3.16384355212647e-27,8.97777507942151e-32,6.10297590321555e-37,8.53856518825537e-43,2.0875253678279e-49,7.47893957359178e-57,3.25033319037668e-65,1.39927669202762e-74
