URL,video_shared_date,authour_username,author_nickname,video_description,video_hashtags,posted_location,video_music_title,like_count,comment_count,save_count,share_count
https://www.tiktok.com/@xoxo.shunna/video/7236547613154151723,5/23/23,xoxo.shunna,ms. pretty👩🏽‍❤️‍💋‍👩🏾!,aye man😹😹😹…#fyp#fypage#joke,"['#fyp', '#fypage', '#joke']",,original sound - S7LID,9941,149,692,196
https://www.tiktok.com/@goonvideos/video/7237979300522249477,5/27/23,goonvideos,Comedy | News | Entertainment,interview with the kia boys#VikingRise#anime#meme#music#bts#viral#capcut#zyxcba#love#jungkook#humor#greenscreen#fyp#duet#stitch#asmr#pourtoi#on#illu#usa#youtube#tiktok#relatable#edit#wow#quotes,"['#VikingRise', '#anime', '#meme', '#music', '#bts', '#viral', '#capcut', '#zyxcba', '#love', '#jungkook', '#humor', '#greenscreen', '#fyp', '#duet', '#stitch', '#asmr', '#pourtoi', '#on', '#illu', '#usa', '#youtube', '#tiktok', '#relatable', '#edit', '#wow', '#quotes']",,original sound - Comedy | News | Entertainment,567,8,74,5
https://www.tiktok.com/@idontdobrokehoes/video/7237891705029070126,5/27/23,idontdobrokehoes,ig @deedgaf2x,kia boyzzzz#fypシ#dreadhead#xyzbca#viral#trending#relatable#trend,"['#fypシ', '#dreadhead', '#xyzbca', '#viral', '#trending', '#relatable', '#trend']",,22 Bump st pt 2 - Ahmadthegreatest,77.5K,882,7330,1284
https://www.tiktok.com/@easyexplanations1/video/7238359050856025386,5/28/23,easyexplanations1,Easy explanations!,In this video i explain “Kia boys”#kia#Hyundai#fyp##fypシ##foryou##xyzbca##capcut##xyzcbaaa##viralvideo##trending##whatis?##Easyexplainations1##easyexplanations##viralll##viral##foryoupage❤️❤️f##foryoupage##funny##information##infotiktok##learnontiktok##learnwithme##informatialpurposes##infotok##learnfromme##learning##safty,"['#kia', '#Hyundai', '#fyp', '#fypシ', '#foryou', '#xyzbca', '#capcut', '#xyzcbaaa', '#viralvideo', '#trending', '#whatis', '#Easyexplainations1', '#easyexplanations', '#viralll', '#viral', '#foryoupage', '#foryoupage', '#funny', '#information', '#infotiktok', '#learnontiktok', '#learnwithme', '#informatialpurposes', '#infotok', '#learnfromme', '#learning', '#safty']",,original sound - Easy explanations!,593,0,52,61
https://www.tiktok.com/@simplyci00/video/7238707422259399979,5/29/23,simplyci00,SimplyCi,Kia / Hyundai trend ‼️ They most definitely almost stole my car with my own charger 😭 Im so over it !#tiktokchallenge#kiaboys#trending#challenge#classactionsettlement,"['#tiktokchallenge', '#kiaboys', '#trending', '#challenge', '#classactionsettlement']",,Oh No - Kreepa,51,10,15,5
https://www.tiktok.com/@speakpaidlanguage/video/7239592667498237227,6/1/23,speakpaidlanguage,paidbagz,,[],,Party at the lake challenge - Court_loww,35.8K,775,3510,692
https://www.tiktok.com/@eyedea714/video/7242346961926540590,6/8/23,eyedea714,Eyedea,,[],,original sound - Eyedea,5068,142,797,484
https://www.tiktok.com/@drivenbyelliot/video/7243501293090639146,6/11/23,drivenbyelliot,Elliot Angus,Replying to@HeartBeatKia boys wyaaa this singer build is for you#kia#stinger#buildseries#carsoftiktok,"['#kia', '#stinger', '#buildseries', '#carsoftiktok']",,Watch This (ARIZONATEARS Pluggnb Remix) - Lil Uzi Vert & sped up nightcore & ARIZONATEARS,9712,873,1701,156
https://www.tiktok.com/@drivenbyelliot/video/7243990638037912875,6/12/23,drivenbyelliot,Elliot Angus,Replying to@johnny1kbravoThe support from you guys is unreal. I’m thinking its time to give back and help out a lucky person with their build🤔 What do you guys say??#kia#forte#buildseries#carsoftiktok,"['#kia', '#forte', '#buildseries', '#carsoftiktok']",,"Solo (Sped Up Version - We gon' put it on the hood, ayy, before we put it on God) - Future",5046,527,1340,157
https://www.tiktok.com/@motionmanbrazy44/video/7245048519902514474,6/15/23,motionmanbrazy44,Brazy,🤣🤣 the kia boys back at it again,[],,Kia / Hyundai Boy Anthem - Pce Bj,364,15,61,27
https://www.tiktok.com/@sgc_von/video/7245894573371706667,6/18/23,sgc_von,SGC Von🧑🏾‍🎤,Kia Boys🤞🏽🖤,[],,original sound - ✌🏾,5535,204,482,56
https://www.tiktok.com/@therealmercedeez/video/7246205245896887598,6/18/23,therealmercedeez,MERCEDEEZ,,[],,SHAKE SUMN - DaBaby,4233,83,343,62
