theft,myear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
3,1989,10,2,11,19,30,29,23,25,22,11,14,16,7,4,7,9,2,4,6,3,3,1,2,0
3,1990,6,15,17,32,41,35,44,37,32,23,25,19,15,20,6,16,15,4,7,3,1,1,1,0
3,1991,4,12,20,39,49,43,43,49,38,32,20,24,17,32,15,15,20,6,10,2,3,3,2,2
3,1992,5,6,9,13,23,32,22,22,40,23,32,26,31,31,15,37,20,12,11,7,9,7,2,0
3,1993,7,13,17,24,28,28,42,47,44,50,56,53,64,47,39,54,39,27,21,9,15,6,4,3
3,1994,6,9,16,20,21,24,36,39,47,51,39,48,50,34,36,43,41,37,19,17,13,7,5,1
3,1995,12,14,16,23,21,26,33,39,63,48,55,57,58,63,59,76,70,62,30,28,18,13,3,7
3,1996,6,12,14,31,18,15,27,14,31,37,33,44,41,48,44,76,60,56,32,16,38,19,6,8
3,1997,9,9,14,16,16,15,33,22,43,37,41,54,47,67,55,90,107,95,53,48,34,29,13,14
3,1998,7,14,17,20,16,12,16,14,30,38,37,54,40,70,68,102,114,90,58,44,61,37,19,12
3,1999,3,5,13,12,12,17,16,11,17,17,29,27,22,40,49,74,71,78,51,26,51,19,20,11
3,2000,12,11,22,15,13,19,25,15,28,20,30,29,38,39,33,92,103,99,77,51,57,52,30,21
3,2001,1,7,10,2,3,5,3,4,5,6,7,4,3,0,6,4,2,8,7,8,4,5,6,5
3,2002,0,0,3,6,7,5,4,3,7,2,2,3,5,2,1,1,2,9,4,6,1,3,2,2
3,2003,0,0,0,4,3,5,1,1,4,4,1,0,7,3,4,6,3,2,7,2,2,4,1,2
3,2004,0,0,0,0,2,4,2,5,2,2,2,3,1,2,4,0,6,8,3,2,3,3,2,5
3,2005,0,0,0,0,0,7,3,2,3,1,3,0,1,5,3,2,3,3,3,3,2,2,4,4
3,2006,0,0,0,0,0,0,2,3,2,0,0,1,1,1,5,4,0,2,4,2,5,8,4,3
3,2007,0,0,0,0,0,0,0,1,9,1,2,0,0,5,2,3,3,3,3,2,1,4,8,6
3,2008,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,0,3,1,5,5,4,4,5,4
3,2009,0,0,0,0,0,0,0,0,0,1,3,1,1,1,3,1,2,2,1,2,2,6,0,5
3,2010,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,1,1,2,5,2,2,2,2,5
3,2011,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,3,2,2,1
3,2012,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,4,3,4,0,3,5,8
3,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,5,4,3,1,3,6,1
3,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,2,2,4,2,1,1,2
3,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,5,7,5,2,8
3,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,7,5,6,5,1
3,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,10,8,8,4
3,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,4,10,7
3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,11,2,8
3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,4
3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
