seq,date_num,date_val,weeknum,theft,kia_boys,kia_boys_la
225,44305,4/19/21,1110,94,0,0
226,44312,4/26/21,1111,68,0,0
227,44319,5/3/21,1112,65,0,0
228,44326,5/10/21,1113,54,0,0
229,44333,5/17/21,1114,52,0,0
230,44340,5/24/21,1115,62,0,0
231,44347,5/31/21,1116,57,0,0
232,44354,6/7/21,1117,42,0,0
233,44361,6/14/21,1118,47,0,0
234,44368,6/21/21,1119,51,3,0
235,44375,6/28/21,1120,44,0,0
236,44382,7/5/21,1121,49,0,0
237,44389,7/12/21,1122,52,0,0
238,44396,7/19/21,1123,63,0,0
239,44403,7/26/21,1124,68,0,0
240,44410,8/2/21,1125,61,2,0
241,44417,8/9/21,1126,55,0,0
242,44424,8/16/21,1127,73,0,0
243,44431,8/23/21,1128,82,3,0
244,44438,8/30/21,1129,43,0,0
245,44445,9/6/21,1130,48,0,0
246,44452,9/13/21,1131,46,0,0
247,44459,9/20/21,1132,63,0,0
248,44466,9/27/21,1133,49,0,0
249,44473,10/4/21,1134,60,0,0
250,44480,10/11/21,1135,79,0,0
251,44487,10/18/21,1136,80,0,0
252,44494,10/25/21,1137,79,0,0
253,44501,11/1/21,1138,79,0,0
254,44508,11/8/21,1139,71,3,0
255,44515,11/15/21,1140,78,0,0
256,44522,11/22/21,1141,78,0,0
257,44529,11/29/21,1142,64,3,0
258,44536,12/6/21,1143,98,0,0
259,44543,12/13/21,1144,83,0,0
260,44550,12/20/21,1145,96,0,0
261,44557,12/27/21,1146,84,0,0
262,44564,1/3/22,1147,66,0,0
263,44571,1/10/22,1148,65,0,0
264,44578,1/17/22,1149,84,0,0
265,44585,1/24/22,1150,51,0,0
266,44592,1/31/22,1151,68,2,0
267,44599,2/7/22,1152,69,0,0
268,44606,2/14/22,1153,67,0,0
269,44613,2/21/22,1154,99,3,0
270,44620,2/28/22,1155,55,0,0
271,44627,3/7/22,1156,90,2,0
272,44634,3/14/22,1157,82,0,0
273,44641,3/21/22,1158,82,0,0
274,44648,3/28/22,1159,85,2,0
275,44655,4/4/22,1160,107,2,0
276,44662,4/11/22,1161,80,3,0
277,44669,4/18/22,1162,92,2,0
278,44676,4/25/22,1163,105,2,0
279,44683,5/2/22,1164,101,2,0
280,44690,5/9/22,1165,118,2,0
281,44697,5/16/22,1166,91,3,0
282,44704,5/23/22,1167,86,3,0
283,44711,5/30/22,1168,84,34,0
284,44718,6/6/22,1169,74,19,28
285,44725,6/13/22,1170,81,22,52
286,44732,6/20/22,1171,69,33,100
287,44739,6/27/22,1172,88,32,67
288,44746,7/4/22,1173,90,27,37
289,44753,7/11/22,1174,87,39,95
290,44760,7/18/22,1175,88,48,71
291,44767,7/25/22,1176,103,72,46
292,44774,8/1/22,1177,90,68,67
293,44781,8/8/22,1178,100,54,90
294,44788,8/15/22,1179,134,46,37
295,44795,8/22/22,1180,77,24,33
296,44802,8/29/22,1181,96,19,26
297,44809,9/5/22,1182,88,22,30
298,44816,9/12/22,1183,108,30,26
299,44823,9/19/22,1184,79,14,23
300,44830,9/26/22,1185,95,18,18
301,44837,10/3/22,1186,127,20,0
302,44844,10/10/22,1187,94,22,24
303,44851,10/17/22,1188,76,29,57
304,44858,10/24/22,1189,99,30,57
305,44865,10/31/22,1190,80,15,44
306,44872,11/7/22,1191,83,15,0
307,44879,11/14/22,1192,74,11,20
308,44886,11/21/22,1193,78,9,0
309,44893,11/28/22,1194,82,15,0
310,44900,12/5/22,1195,86,12,26
311,44907,12/12/22,1196,76,42,30
312,44914,12/19/22,1197,41,18,0
