"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1986",0.122051158542723,0.0860724541854054,0.053663256106694,0.0286526188701475,0.0126273014993642,0.00440237221591879,0.00115639650479421,0.000216385422855216,2.70521820003239e-05,2.10086565223904e-06,9.33557243918122e-08,2.16484473097528e-09,2.36380895854714e-11,1.08414609315172e-13,1.84051215097201e-16,1.00600252393013e-19,1.51877997210802e-23,5.35399524080239e-28,3.66818579502216e-33,3.99930591250342e-39,5.58368960094272e-46,7.88816783903952e-54,8.74026493630355e-63,5.7700895654434e-73
"1987",0.190608302686685,0.147992232952941,0.10436652009476,0.065068985772677,0.0347425218832183,0.0153111413883612,0.00533806399138563,0.00140218006094195,0.000262376550039877,3.28019239495862e-05,2.54738916632373e-06,1.13197795716519e-07,2.62496652681337e-09,2.86621913488107e-11,1.31457335668442e-13,2.23169944678586e-16,1.21982094762828e-19,1.84158546399863e-23,6.49194747814219e-28,4.44783165660458e-33,4.84932891518683e-39,6.77046168201979e-46,9.5647397889992e-54,1.05979438455808e-62
"1988",0.272287823925176,0.227580792772561,0.176698439810222,0.124610602199849,0.0776904844034729,0.0414815648723219,0.0182810593573342,0.00637349379804885,0.00167416238107732,0.000313270001470802,3.91645471455823e-05,3.04150888392905e-06,1.35154889509812e-07,3.13413400546143e-09,3.4221826320354e-11,1.56956251356844e-13,2.66458450220013e-16,1.45643088149284e-19,2.1987997057198e-23,7.75119726102381e-28,5.31058217433923e-33,5.78995827242219e-39,8.083735153778e-46,1.14200222821446e-53
"1989",0.363204771607616,0.320858344322612,0.268176502775598,0.208217789633797,0.146838558296585,0.0915488611865733,0.0488810187432461,0.0215420225307964,0.00751039337019473,0.00197279834983471,0.000369150895360952,4.61506929400178e-05,3.58405120975282e-06,1.59263728543149e-07,3.69319873867695e-09,4.03262928711133e-11,1.84954002773476e-13,3.13989130824508e-16,1.71622805059594e-19,2.59102013047845e-23,9.13385065787407e-28,6.2578802800815e-33,6.82276716676433e-39,9.52570643811256e-46
"1990",0.459894170287852,0.423171490994085,0.373833480666876,0.312453633323218,0.242595470595902,0.17108225581606,0.106663984384506,0.0569514918301682,0.025098706035816,0.0087503926403558,0.00229851611099462,0.000430099346162939,5.37703771219618e-05,4.17579396745582e-06,1.85558876802676e-07,4.30296223770929e-09,4.69843427579444e-11,2.1549072930003e-13,3.65830129540504e-16,1.99958491691061e-19,3.0188090507654e-23,1.06418899297545e-27,7.29108408147642e-33,7.94923629963843e-39
"1991",0.559979901198804,0.530564369771066,0.48819865510326,0.431279059147892,0.360467202580653,0.279874199939232,0.197371819649825,0.123054635845491,0.0657030123940959,0.028955529359346,0.0100950324149007,0.00265172039705395,0.000496191087599692,6.20330678082086e-05,4.81747244860768e-06,2.14073008284965e-07,4.96418218645819e-09,5.42042491838366e-11,2.48604375461025e-13,4.22045863293806e-16,2.30685357585719e-19,3.48269803132323e-23,1.22771889459247e-27,8.41147742363233e-33
"1992",0.662305495993472,0.640453793047039,0.606810998659138,0.558356969155474,0.493257541389801,0.412269416576568,0.320094511505424,0.225735834919635,0.140738637423502,0.0751450961227914,0.0331166860956575,0.0115457747451558,0.00303279525346834,0.000567497982425869,7.09477491728882e-05,5.50978436191236e-06,2.44837126924706e-07,5.67757754142138e-09,6.19938624845937e-11,2.84330946327264e-13,4.82697456475975e-16,2.638368126247e-19,3.98319146709258e-23,1.40415257968003e-27
"1993",0.766731231333942,0.751691337034145,0.72689049225233,0.688707210899557,0.633713745734866,0.559828391931583,0.4679099763469,0.363294994207893,0.256201515152355,0.159732955829615,0.0852868021144387,0.0375861686185225,0.0131040115290947,0.00344210629810763,0.000644088445218165,8.05229743040772e-05,6.25339393803936e-06,2.77880749000225e-07,6.44383276153296e-09,7.03606563147326e-11,3.22704719344548e-13,5.47843100557606e-16,2.99444663588663e-19,4.52076955072004e-23
"1994",0.87380093468503,0.864272897725357,0.847319664966919,0.819363717550606,0.776322852811068,0.714333253911913,0.631048386645023,0.527436335713584,0.409512492176569,0.288794843425274,0.180053790631322,0.0961367798634395,0.0423677887880062,0.0147710717305377,0.00388000261756455,0.000726027797213431,9.07669095651308e-05,7.04893537471349e-06,3.13232056222209e-07,7.26360135816883e-09,7.93117664102381e-11,3.63758422116611e-13,6.17538355903418e-16,3.37539279126416e-19
"1995",0.984411083533283,0.978930772394564,0.968256386261413,0.94926345482814,0.917944036284445,0.869724784860557,0.800277015326351,0.706971874297011,0.590893919900842,0.458782274496118,0.323540692068241,0.201716648882762,0.107703309108002,0.0474651955114271,0.0165482275015911,0.00434681837537117,0.000813378567238839,0.000101687372216522,7.89701575841753e-06,3.50918025564797e-07,8.13750890582589e-09,8.88540234623782e-11,4.07523383178801e-13,6.91836407734801e-16
